Transfer,repb,Klebp,Pseudomonas,Alcaligenes,dila_ord,dilp_ord,freqA,freqP
12,1,367500000,0,1.02E+09,-1,-2,0.047393365,0.004739336
12,2,1.90E+08,0,6.50E+08,-1,-2,0.047393365,0.004739336
12,1,1007500000,0,517500000,-1,-3,0.047596383,0.000475964
12,2,1.10E+08,0,2.65E+08,-1,-3,0.047596383,0.000475964
12,1,1.65E+08,0,3.05E+08,-1,-4,0.04761678,4.76E-05
12,2,1.75E+08,0,582500000,-1,-4,0.04761678,4.76E-05
12,1,102500000,0,5.10E+08,-1,0,0.032258065,0.322580645
12,2,1402500000,1.55E+08,0,-1,0,0.032258065,0.322580645
12,1,127500000,0,2.85E+08,-2,-,0.004975124,0
12,2,1.90E+08,0,792500000,-2,-,0.004975124,0
12,1,7.00E+07,0,257500000,-2,-1,0.004739336,0.047393365
12,2,107500000,0,1.95E+08,-2,-1,0.004739336,0.047393365
12,1,97500000,0,4.25E+08,-2,-2,0.004950495,0.004950495
12,2,147500000,0,597500000,-2,-2,0.004950495,0.004950495
12,1,72500000,0,297500000,-2,-3,0.00497265,0.000497265
12,2,8.00E+07,0,3.35E+08,-2,-3,0.00497265,0.000497265
12,1,8.00E+07,0,2.15E+08,-2,-4,0.004974877,4.97E-05
12,2,4.10E+08,0,9.10E+08,-2,-4,0.004974877,4.97E-05
12,1,1.54E+09,7.00E+07,1.20E+08,-2,0,0.003322259,0.332225914
12,2,1242500000,112500000,0,-2,0,0.003322259,0.332225914
12,1,1.75E+08,0,5.65E+08,-3,-,0.00049975,0
12,2,7.80E+08,0,322500000,-3,-,0.00049975,0
12,1,1747500000,6.00E+07,0,-3,-1,0.000475964,0.047596383
12,2,1.36E+09,9.00E+07,0,-3,-1,0.000475964,0.047596383
12,1,112500000,0,4.45E+08,-3,-2,0.000497265,0.00497265
12,2,1.05E+08,0,2.55E+08,-3,-2,0.000497265,0.00497265
12,1,367500000,0,8.25E+08,-3,-3,0.0004995,0.0004995
12,2,832500000,0,3.35E+08,-3,-3,0.0004995,0.0004995
12,1,1.50E+08,0,887500000,-3,-4,0.000499725,5.00E-05
12,2,1.65E+08,0,432500000,-3,-4,0.000499725,5.00E-05
12,1,2407500000,257500000,2500000,-3,0,0.000333222,0.333222259
12,2,1222500000,122500000,0,-3,0,0.000333222,0.333222259
12,1,8.00E+07,0,2.75E+08,-4,-,5.00E-05,0
12,2,1.40E+08,0,4.45E+08,-4,-,5.00E-05,0
12,1,1.93E+09,52500000,0,-4,-1,4.76E-05,0.04761678
12,2,1277500000,62500000,0,-4,-1,4.76E-05,0.04761678
12,1,1.69E+09,112500000,0,-4,-2,4.97E-05,0.004974877
12,2,7.00E+07,0,322500000,-4,-2,4.97E-05,0.004974877
12,1,117500000,0,2.70E+08,-4,-3,5.00E-05,0.000499725
12,2,627500000,0,3.05E+08,-4,-3,5.00E-05,0.000499725
12,1,72500000,0,6.30E+08,-4,-4,5.00E-05,5.00E-05
12,2,87500000,0,357500000,-4,-4,5.00E-05,5.00E-05
12,1,1607500000,1.20E+08,0,-4,0,3.33E-05,0.333322223
12,2,1297500000,5.50E+07,0,-4,0,3.33E-05,0.333322223
12,1,87500000,0,1.80E+08,0,-,0.333333333,0
12,2,207500000,0,5.80E+08,0,-,0.333333333,0
12,1,1.90E+08,0,482500000,0,-1,0.322580645,0.032258065
12,2,4.00E+07,0,227500000,0,-1,0.322580645,0.032258065
12,1,87500000,0,497500000,0,-2,0.332225914,0.003322259
12,2,72500000,0,302500000,0,-2,0.332225914,0.003322259
12,1,1.35E+08,0,327500000,0,-3,0.333222259,0.000333222
12,2,4.00E+07,0,267500000,0,-3,0.333222259,0.000333222
12,1,582500000,0,3.30E+08,0,-4,0.333322223,3.33E-05
12,2,692500000,0,392500000,0,-4,0.333322223,3.33E-05
12,1,6.40E+08,0,352500000,0,0,0.25,0.25
12,2,1.95E+08,0,667500000,0,0,0.25,0.25
