time_hours,CommunityReplicate,SangerID,Genus,Family,Glucose_perc,OD620,pH,acetate_mM,succinate_mM,lactate_mM,f_r_type
16,C1R7,283,Enterobacter,Enterobacteriaceae,0,0.197,5.09054523,9.479785617,0.513853861,5.303037374,F
16,C1R7,284,Serratia,Enterobacteriaceae,0.007445936,0.174,5.895514698,6.533905255,0.809403461,2.503237726,F
16,C1R7,286,Citrobacter,Enterobacteriaceae,0.028091508,0.142,4.558795489,9.680839767,0.377748944,3.785150549,F
16,C1R7,287,Raoultella,Enterobacteriaceae,0,0.163666667,5.818615102,8.84165723,0.325824524,3.003885271,F
16,C1R7,440,Enterobacter,Enterobacteriaceae,0,0.181666667,5.872204748,9.925601337,0.626881259,0.551668951,F
16,C1R7,441,Pseudomonas,Pseudomonadaceae,0.2,0.045,6.656782624,0,0.011131073,0,R
16,C1R7,442,Enterobacter,Enterobacteriaceae,0,0.202333333,5.28348553,10.37141707,0.559222167,4.636570259,F
16,C2R4,160,Enterobacter,Enterobacteriaceae,0,0.185666667,4.906420826,8.876599248,0.440749116,5.290282022,F
16,C2R4,165,Raoultella,Enterobacteriaceae,0,0.122333333,5.357652347,10.03045038,0.249119331,4.974587073,F
16,C2R4,169,Citrobacter,Enterobacteriaceae,0.017847222,0.163666667,4.803877013,9.215967226,0.328305192,3.721373791,F
16,C2R4,523,Pseudomonas,Pseudomonadaceae,0.004462925,0.098,6.304880723,0.347150731,0.000928216,0,R
16,C2R6,276,Enterobacter,Enterobacteriaceae,0.00022391,0.181333333,4.954870624,9.523493041,0.564729302,5.111707102,F
16,C2R6,277,Raoultella,Enterobacteriaceae,0,0.133,4.893136579,9.567200465,0.303009249,6.007770542,F
16,C2R6,278,Citrobacter,Enterobacteriaceae,0.019220977,0.163,4.706966936,10.37141707,0.432558053,4.406973933,F
16,C2R8,288,Raoultella,Enterobacteriaceae,0,0.153666667,5.306853687,8.438348263,0.297633253,4.566415826,F
16,C2R8,289,Citrobacter,Enterobacteriaceae,0.018789226,0.162666667,4.893136579,9.633606276,0.474843246,3.896759874,F
16,C2R8,290,Pseudomonas,Pseudomonadaceae,0.017062219,0.063,6.337729291,0.045558306,0.001936815,0,R
16,C2R8,444,Pseudomonas,Pseudomonadaceae,0.019063976,0.073,6.330750217,0.088864755,0.001676976,0,R
16,C4R1,294,Pseudomonas,Pseudomonadaceae,0.141128349,0.035666667,6.569979579,0,0.000117944,0,R
16,C4R1,295,Klebsiella,Enterobacteriaceae,0,0.199666667,5.630140712,9.087945009,0.330892607,2.595714024,F
16,C7R1,303,Enterobacter,Enterobacteriaceae,0,0.207333333,5.669198556,8.143864405,0.370907766,0.940707171,F
16,C7R1,304,Pseudomonas,Pseudomonadaceae,0.2,0.059666667,6.670972254,0,0.002976169,0,R
16,C7R1,305,Klebsiella,Enterobacteriaceae,0,0.202666667,5.694855903,7.736783778,0.364931476,0.953462522,F
16,C7R1,308,Enterobacter,Enterobacteriaceae,0,0.191,5.992143976,7.44229992,0.341545993,0.580368492,F
16,C8R2,310,Klebsiella,Enterobacteriaceae,0,0.215,5.853642438,7.139154772,0.333750832,1.568908231,F
16,C8R2,311,Klebsiella,Enterobacteriaceae,0.001636915,0.186333333,5.870375375,8.64935958,0.371687282,1.693272908,F
16,C8R4,316,Pseudomonas,Pseudomonadaceae,0.064554886,0.079,6.421494952,0.010913146,0.002976169,0,R
16,C8R4,317,Klebsiella,Enterobacteriaceae,0,0.198,5.86866691,7.944654736,0.412741797,1.154359308,F
16,C8R5,320,Enterobacter,Enterobacteriaceae,0,0.208333333,6.073358068,7.572219269,0.36623067,0.8673639,F
16,C8R5,321,Pseudomonas,Pseudomonadaceae,0.034607031,0.095666667,6.362721652,0.348703454,0.007913105,0,R
16,C8R5,322,Klebsiella,Enterobacteriaceae,0,0.215666667,5.84115609,6.948606393,0.34414438,1.457298905,F
16,C8R5,325,Pseudomonas,Pseudomonadaceae,0.058549615,0.080333333,6.362721652,0.236106684,0.008692621,0,R
16,C8R5,448,Klebsiella,Enterobacteriaceae,0,0.211,5.835797571,6.896638653,0.362592928,1.457298905,F
16,C8R5,449,Pseudomonas,Pseudomonadaceae,0.038767546,0.086333333,6.325004159,0.296735714,0.007913105,0,R
28,C10R2,326,Pseudomonas,Pseudomonadaceae,0,0.107,6.258733962,0.585099089,0,0.151931342,R
28,C10R2,327,Enterobacter,Enterobacteriaceae,0,0.202333333,6.461916151,7.207299012,0.131856164,0.374979482,F
28,C11R1,332,Enterobacter,Enterobacteriaceae,0,0.142333333,5.800884866,13.61198142,0.253062019,7.641823232,F
28,C11R1,335,Pseudomonas,Pseudomonadaceae,0.007841018,0.037,6.602446454,0.17423267,0.024605152,0.006465163,R
28,C11R1,336,Acinetobacter,Moraxellaceae,0.2,0.045,6.749215537,0.464256024,0.018899673,0.016162909,R
28,C11R1,338,Enterobacter,Enterobacteriaceae,0,0.193333333,6.342775402,5.733013628,0.442769179,0.488119843,F
28,C11R1,340,Raoultella,Enterobacteriaceae,0,0.182666667,6.224969492,7.642334044,0.030786087,4.192658516,F
28,C11R1,342,Delftia,Comamonadaceae,0.2,0.034,6.964590871,0,0.012243282,0,R
28,C11R1,452,Achromobacter,Alcaligenaceae,0.2,0.036,6.874690642,0.391750186,0.011767825,0.009697745,R
28,C11R1,461,Raoultella,Enterobacteriaceae,0,0.187666667,6.226731732,6.941444271,0.052657087,4.545009925,F
28,C11R2,280,Enterobacter,Enterobacteriaceae,5.04E-05,0.191,6.337729291,8.826596074,0.532868194,0.704702819,F
28,C11R2,343,Aeromonas,Aeromonadaceae,0,0.307,6.028758816,11.94434714,0.589922979,4.780988392,F
28,C11R2,344,Enterobacter,Enterobacteriaceae,0,0.164666667,5.631428185,12.2585391,0.452516038,6.704374527,F
28,C11R2,345,Raoultella,Enterobacteriaceae,0,0.221333333,6.285809737,8.778258848,0.014858292,4.564405416,F
28,C11R2,346,Escherichia/Shigella,Enterobacteriaceae,3.35E-06,0.171666667,5.218803804,14.67540039,0.546894162,4.939384898,F
28,C11R2,348,Raoultella,Enterobacteriaceae,1.90E-05,0.183333333,5.782564725,13.90200478,0.46606655,7.50928738,F
28,C11R2,350,Pseudomonas,Pseudomonadaceae,0.008005869,0.035,6.903519956,0.17423267,0.017711032,0,R
28,C11R2,453,Acinetobacter,Moraxellaceae,0.2,0.039,6.859338609,0,0.016284662,0,R
28,C11R2,454,Acinetobacter,Moraxellaceae,0.007943069,0.041,6.791112501,0.464256024,0.017473303,0.009697745,R
28,C11R2,458,Serratia,Enterobacteriaceae,0,0.187,6.119423938,10.13170117,0.659101905,5.844507785,F
28,C11R2,460,Enterobacter,Enterobacteriaceae,0,0.166666667,5.616201058,13.201115,0.447048288,6.933887831,F
28,C11R5,352,Pseudomonas,Pseudomonadaceae,0,0.230666667,6.337729291,0.319244347,0.01652239,0.058186471,R
28,C11R5,356,Raoultella,Enterobacteriaceae,0,0.194333333,6.226731732,9.019944977,0.045762968,4.334892112,F
28,C11R5,462,Pseudomonas,Pseudomonadaceae,0,0.222333333,6.353967752,0.270907121,0.015096021,0.05495389,R
28,C11R6,358,Raoultella,Enterobacteriaceae,0,0.22,6.281129459,7.352310689,0,4.454497637,F
28,C11R6,360,Klebsiella,Enterobacteriaceae,0,0.196666667,6.448305977,6.603083691,0.03554375,1.276869787,F
28,C1R2,259,Citrobacter,Enterobacteriaceae,0,0.166,4.692081776,17.93816313,0.440687634,4.819779373,F
28,C1R2,364,Serratia,Enterobacteriaceae,0,0.194,6.299053631,6.651420916,0.73256581,4.373683093,F
28,C1R2,428,Pseudomonas,Pseudomonadaceae,0.103971534,0.034333333,6.874690642,0.246738508,0.007984138,0,R
28,C1R2,432,Pseudomonas,Pseudomonadaceae,0,0.275333333,6.362721652,0.295075734,0.011917806,0.106675197,R
28,C1R4,267,Pseudomonas,Pseudomonadaceae,0.001553146,0.196,6.31858073,0.464256024,0.016113719,0.025860654,R
28,C1R4,269,Enterobacter,Enterobacteriaceae,0,0.193,5.966499379,9.672497524,0.51726304,0.219815558,F
28,C1R4,270,Citrobacter,Enterobacteriaceae,0,0.157333333,4.677390168,17.35811642,0.475303913,5.880066184,F
28,C1R4,435,Citrobacter,Enterobacteriaceae,0,0.165,4.627326655,18.95324487,0.467698822,6.924190085,F
28,C1R6,272,Pseudomonas,Pseudomonadaceae,0,0.299333333,6.371606157,0.295075734,0.003263737,0.164861669,R
28,C1R6,273,Enterobacter,Enterobacteriaceae,0,0.197333333,5.837049623,10.44589314,0.57207215,0.14869876,F
28,C1R6,274,Pseudomonas,Pseudomonadaceae,0.007954844,0.122666667,6.350299123,0.585099089,0.013753518,0,R
28,C1R6,438,Serratia,Enterobacteriaceae,0,0.186333333,6.200498901,9.237462493,0.667004674,4.991106205,F
28,C1R6,439,Citrobacter,Enterobacteriaceae,0,0.174,4.790191863,17.21310474,0.443047835,5.081618494,F
28,C1R7,283,Enterobacter,Enterobacteriaceae,0,0.110333333,5.147107317,14.67540039,0.528277311,6.678513873,F
28,C1R7,284,Serratia,Enterobacteriaceae,0,0.183666667,6.27687424,6.337228949,0.762461688,3.788585798,F
28,C1R7,286,Citrobacter,Enterobacteriaceae,0,0.149333333,4.396847042,14.55455732,0.415774402,6.429605079,F
28,C1R7,287,Raoultella,Enterobacteriaceae,0,0.189333333,6.252164236,8.222380752,0.00693516,4.289635968,F
28,C1R7,440,Enterobacter,Enterobacteriaceae,0,0.197666667,6.066353964,9.358305557,0.503626324,0.210117813,F
28,C1R7,441,Pseudomonas,Pseudomonadaceae,0,0.189,6.3585967,0.319244347,0.019785143,0.029093236,R
28,C1R7,442,Enterobacter,Enterobacteriaceae,0,0.185333333,5.322428129,14.65123178,0.577054796,6.516884786,F
28,C2R4,160,Enterobacter,Enterobacteriaceae,0,0.175666667,5.006857664,11.43680627,0.402966148,7.354123457,F
28,C2R4,165,Raoultella,Enterobacteriaceae,0,0.148,5.690342855,9.769171975,0.297762074,7.842243299,F
28,C2R4,169,Citrobacter,Enterobacteriaceae,0,0.164666667,4.592678668,11.24345736,0.316766681,5.776623568,F
28,C2R4,523,Pseudomonas,Pseudomonadaceae,0,0.183,6.363493344,0.440087411,0.006131858,0.01939549,R
28,C2R6,276,Enterobacter,Enterobacteriaceae,0,0.164333333,4.976675107,13.61198142,0.498119189,6.180696285,F
28,C2R6,277,Raoultella,Enterobacteriaceae,0,0.156666667,5.285247846,11.63015517,0.302222515,7.871336535,F
28,C2R6,278,Citrobacter,Enterobacteriaceae,0,0.165,4.662880112,15.06209819,0.411840734,5.967345891,F
28,C2R8,288,Raoultella,Enterobacteriaceae,0,0.162,5.966499379,11.48514349,0.251122126,8.517852883,F
28,C2R8,289,Citrobacter,Enterobacteriaceae,0,0.165,4.706966936,15.83549381,0.459252924,5.498621538,F
28,C2R8,290,Pseudomonas,Pseudomonadaceae,0,0.19,6.3585967,0.077558218,0.005574556,0,R
28,C2R8,444,Pseudomonas,Pseudomonadaceae,0,0.188,6.400972425,0.101726831,0.005314718,0.003232582,R
28,C4R1,294,Pseudomonas,Pseudomonadaceae,0.007766443,0.061666667,6.350299123,0,0.006354072,0,R
28,C4R1,295,Klebsiella,Enterobacteriaceae,0,0.206666667,6.085576543,9.962520877,0.296593898,3.979308121,F
28,C7R1,303,Enterobacter,Enterobacteriaceae,0,0.215333333,5.743960552,9.019944977,0.203051967,0.491352424,F
28,C7R1,304,Pseudomonas,Pseudomonadaceae,0.2,0.097333333,6.448305977,0.415918799,0.000637621,0,R
28,C7R1,305,Klebsiella,Enterobacteriaceae,0,0.208666667,5.72356402,8.8749333,0.250862288,0.617423112,F
28,C7R1,308,Enterobacter,Enterobacteriaceae,0,0.212333333,6.304880723,8.294886591,0.176288581,0.753191545,F
28,C8R2,310,Klebsiella,Enterobacteriaceae,0,0.229333333,6.31858073,8.149874914,0.177847613,1.83933901,F
28,C8R2,311,Klebsiella,Enterobacteriaceae,0,0.188,6.325004159,8.222380752,0.188501,2.130271366,F
28,C8R4,316,Pseudomonas,Pseudomonadaceae,0,0.087333333,6.293778499,0.754279379,0.00479504,0.07434938,R
28,C8R4,317,Klebsiella,Enterobacteriaceae,0,0.213666667,6.371606157,8.923270525,0.264114061,1.441731456,F
28,C8R5,320,Enterobacter,Enterobacteriaceae,0,0.245,6.408293596,7.303973464,0,0.940681286,F
28,C8R5,321,Pseudomonas,Pseudomonadaceae,0,0.232,6.362721652,1.213483023,0.005574556,0.029093236,R
28,C8R5,322,Klebsiella,Enterobacteriaceae,0,0.223,6.249311934,7.666502657,0.264893577,2.013898424,F
28,C8R5,325,Pseudomonas,Pseudomonadaceae,0,0.224,6.332093341,1.3584947,0.00479504,0.045256144,R
28,C8R5,448,Klebsiella,Enterobacteriaceae,0,0.216,6.239542929,7.448985141,0.263854222,2.091480385,F
28,C8R5,449,Pseudomonas,Pseudomonadaceae,0,0.212,6.339958548,0.85095383,0.004015524,0.01939549,R
48,C10R2,326,Pseudomonas,Pseudomonadaceae,0,0.183666667,6.332093341,0.070743771,0,0.062191977,R
48,C10R2,327,Enterobacter,Enterobacteriaceae,0,0.239666667,6.534303066,6.075768773,0,0,F
48,C11R1,332,Enterobacter,Enterobacteriaceae,0,0.227666667,5.997321065,20.13459201,0.009152814,3.760977984,F
48,C11R1,335,Pseudomonas,Pseudomonadaceae,0,0.113,6.272373447,0,0.034827467,0,R
48,C11R1,336,Acinetobacter,Moraxellaceae,0,0.039,6.535116948,0.047194654,0.021276956,0,R
48,C11R1,338,Enterobacter,Enterobacteriaceae,0,0.239333333,6.39718356,6.028670537,0.030548358,0.006546524,F
48,C11R1,340,Raoultella,Enterobacteriaceae,0,0.214,6.371606157,7.276773773,0.01105464,2.936115972,F
48,C11R1,342,Delftia,Comamonadaceae,0,0.034,6.896338991,0,0.011530097,0,R
48,C11R1,452,Achromobacter,Alcaligenaceae,0,0.058,6.718817088,0.023645536,0.019612858,0,R
48,C11R1,461,Raoultella,Enterobacteriaceae,0,0.217666667,6.394949193,6.947086126,0.012956466,2.968848591,F
48,C11R2,280,Enterobacter,Enterobacteriaceae,0,0.237,6.39917919,8.40713142,0.013431923,0,F
48,C11R2,343,Aeromonas,Aeromonadaceae,0,0.326666667,6.105116591,10.12621701,0.029359717,4.605479567,F
48,C11R2,344,Enterobacter,Enterobacteriaceae,0,0.194,6.066353964,14.01182142,0.03720475,5.181573671,F
48,C11R2,345,Raoultella,Enterobacteriaceae,0,0.261666667,6.421494952,7.771305244,0.008915086,2.281463581,F
48,C11R2,346,Escherichia/Shigella,Enterobacteriaceae,0,0.164,5.474110347,26.5164029,0.431358222,0.382971648,F
48,C11R2,348,Raoultella,Enterobacteriaceae,0,0.206,6.099068805,16.88481378,0.022227869,6.078447446,F
48,C11R2,350,Pseudomonas,Pseudomonadaceae,0,0.036666667,6.655835377,0,0.017235575,0,R
48,C11R2,453,Acinetobacter,Moraxellaceae,0,0.037,6.642554795,0.188489359,0.021039228,0,R
48,C11R2,454,Acinetobacter,Moraxellaceae,0,0.039,6.528239184,0,0.022465597,0,R
48,C11R2,458,Serratia,Enterobacteriaceae,0,0.207666667,6.272373447,8.501327891,0.013431923,4.96226512,F
48,C11R2,460,Enterobacter,Enterobacteriaceae,0,0.195333333,6.04824015,13.35244613,0.138239265,5.741301465,F
48,C11R5,352,Pseudomonas,Pseudomonadaceae,0,0.309666667,6.350299123,0,0.024367423,0,R
48,C11R5,356,Raoultella,Enterobacteriaceae,0,0.238333333,6.381453,7.630010538,0.007964173,2.769179612,F
48,C11R5,462,Pseudomonas,Pseudomonadaceae,0,0.263333333,6.371606157,0,0.021990141,0.003273262,R
