E,P,E_Genus,P_Species,D_ace_glu,w_ac_R,w_glc_F,R_F
iSDY_1059,76869.5_PID,Shigella,P.Putida,0.980704556,0.027021409,0.065244086,0.406167364
iECW_1372,76869.5_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
iEcDH1_1363,76869.5_PID,Escherichia,P.Putida,0.812197302,0.026931801,0.072152138,0.303164068
iECS88_1305,76869.5_PID,Escherichia,P.Putida,0.83380047,0.026943639,0.071613933,0.31370458
iEC1356_Bl21DE3,76869.5_PID,Escherichia,P.Putida,0.027254673,0.013281962,0.095035542,0.003809054
iEcSMS35_1347,303.492_PID,Escherichia,P.Putida,0.812197302,0.026940808,0.072152138,0.303265459
iEcolC_1368,303.492_PID,Escherichia,P.Putida,0.812197302,0.026940808,0.072152138,0.303265459
iZ_1308,303.492_PID,Escherichia,P.Putida,0.812197302,0.026940808,0.072152138,0.303265459
iECED1_1282,303.492_PID,Escherichia,P.Putida,0.812185753,0.026940806,0.072151374,0.303264346
iEC1364_W,303.492_PID,Escherichia,P.Putida,0.867360758,0.026968136,0.071153561,0.328741144
iJO1366,303.492_PID,Escherichia,P.Putida,0.916424424,0.026993759,0.069334841,0.356786565
iLF82_1304,303.492_PID,Escherichia,P.Putida,0.812197302,0.026940808,0.072152138,0.303265459
e_coli_core,303.492_PID,Escherichia,P.Putida,0.684217179,0.026869814,0.072871592,0.252290199
iJR904,303.492_PID,Escherichia,P.Putida,0.927990759,0.027007337,0.067074007,0.373655318
iWFL_1372,303.492_PID,Escherichia,P.Putida,0.812197302,0.026940808,0.072152138,0.303265459
iEcHS_1320,303.492_PID,Escherichia,P.Putida,0.916577,0.026993852,0.069325078,0.356897455
iECIAI39_1322,303.492_PID,Escherichia,P.Putida,0.833924636,0.026952639,0.071626906,0.313799251
iECO111_1330,303.492_PID,Escherichia,P.Putida,0.812197302,0.026940808,0.072152138,0.303265459
iB21_1397,303.492_PID,Escherichia,P.Putida,0.04372566,0.020400415,0.075055718,0.011884792
iEC1372_W3110,303.492_PID,Escherichia,P.Putida,0.916442037,0.026993761,0.069335693,0.356789067
iECIAI1_1343,303.492_PID,Escherichia,P.Putida,0.91819003,0.026994838,0.069221865,0.358071699
iAPECO1_1312,303.492_PID,Escherichia,P.Putida,0.83380047,0.02695265,0.071613933,0.313809496
iECABU_c1320,303.492_PID,Escherichia,P.Putida,0.812197302,0.026940808,0.072152138,0.303265459
iBWG_1329,303.492_PID,Escherichia,P.Putida,0.812197302,0.026940808,0.072152138,0.303265459
iE2348C_1286,303.492_PID,Escherichia,P.Putida,0.812197302,0.026940808,0.072152138,0.303265459
iAF1260,303.492_PID,Escherichia,P.Putida,1.051197215,0.027062264,0.061609818,0.461740966
iEC042_1314,303.492_PID,Escherichia,P.Putida,0.812197302,0.026940808,0.072152138,0.303265459
iYS1720,303.492_PID,Salmonella,P.Putida,1.026113748,0.027026545,0.069261263,0.400401439
iECOK1_1307,303.492_PID,Escherichia,P.Putida,0.83380047,0.02695265,0.071613933,0.313809496
STM_v1_0,303.492_PID,Salmonella,P.Putida,1.053602835,0.027044981,0.066282613,0.429896582
iETEC_1333,303.492_PID,Escherichia,P.Putida,0.812197302,0.026940808,0.072152138,0.303265459
iEC55989_1330,303.492_PID,Escherichia,P.Putida,0.812197302,0.026940808,0.072152138,0.303265459
iEC1368_DH5a,303.492_PID,Escherichia,P.Putida,0.916442037,0.026993761,0.069335693,0.356789067
iECB_1328,303.492_PID,Escherichia,P.Putida,0.812197302,0.026940808,0.072152138,0.303265459
iECD_1391,303.492_PID,Escherichia,P.Putida,0.04372566,0.020400415,0.075055718,0.011884792
iG2583_1286,303.492_PID,Escherichia,P.Putida,0.745573021,0.026887098,0.076199178,0.263077578
iY75_1357,303.492_PID,Escherichia,P.Putida,0.812197302,0.026940808,0.072152138,0.303265459
iECNA114_1301,303.492_PID,Escherichia,P.Putida,0.812197302,0.026940808,0.072152138,0.303265459
