"InocRep","Relative_Abundance","Family"
"C8R8",0.010234251,"Pseudomonadaceae"
"C8R1",0.016602229,"Pseudomonadaceae"
"C1R4",0.001137139,"Pseudomonadaceae"
"C3R6",0.02888333,"Pseudomonadaceae"
"C1R8",0.002274278,"Pseudomonadaceae"
"C1R1",0.438025927,"Pseudomonadaceae"
"C2R1",0.001137139,"Pseudomonadaceae"
"C3R1",0.004775984,"Pseudomonadaceae"
"C4R1",0.001591995,"Pseudomonadaceae"
"C5R1",0.026836479,"Pseudomonadaceae"
"C9R1",0.325676598,"Pseudomonadaceae"
"C12R1",0.002274278,"Pseudomonadaceae"
"C1R2",0.452808733,"Pseudomonadaceae"
"C7R2",0.000454856,"Pseudomonadaceae"
"C8R2",0.001591995,"Pseudomonadaceae"
"C9R2",0.129178986,"Pseudomonadaceae"
"C10R2",0.000682283,"Pseudomonadaceae"
"C12R2",0.001819422,"Pseudomonadaceae"
"C1R3",0.002956561,"Pseudomonadaceae"
"C2R3",0.003183989,"Pseudomonadaceae"
"C5R3",0.000227428,"Pseudomonadaceae"
"C6R3",0.000682283,"Pseudomonadaceae"
"C7R3",0.000454856,"Pseudomonadaceae"
"C8R3",0.000682283,"Pseudomonadaceae"
"C9R3",0.06595406,"Pseudomonadaceae"
"C1R4",0.002729134,"Pseudomonadaceae"
"C3R4",0.001364567,"Pseudomonadaceae"
"C9R4",0.245167159,"Pseudomonadaceae"
"C1R5",0.513531954,"Pseudomonadaceae"
"C2R5",0.001819422,"Pseudomonadaceae"
"C9R5",0.139640664,"Pseudomonadaceae"
"C11R5",0.180805094,"Pseudomonadaceae"
"C1R6",0.403456902,"Pseudomonadaceae"
"C2R6",0.001591995,"Pseudomonadaceae"
"C9R6",0.171707983,"Pseudomonadaceae"
"C11R6",0.222879236,"Pseudomonadaceae"
"C1R7",0.001137139,"Pseudomonadaceae"
"C2R7",0.001137139,"Pseudomonadaceae"
"C4R7",0.001364567,"Pseudomonadaceae"
"C9R7",0.200363884,"Pseudomonadaceae"
"C1R8",0.405276325,"Pseudomonadaceae"
"C2R8",0.403002047,"Pseudomonadaceae"
"C3R8",0.000909711,"Pseudomonadaceae"
"C4R8",0.000227428,"Pseudomonadaceae"
"C5R8",0.00614055,"Pseudomonadaceae"
"C6R8",0.000227428,"Pseudomonadaceae"
"C3R1",0.122128724,"Pseudomonadaceae"
"C3R5",0.010461678,"Pseudomonadaceae"
"C3R7",0.014555379,"Pseudomonadaceae"
"C8R1",0.003866272,"Pseudomonadaceae"
"C12R1",0.009779395,"Pseudomonadaceae"
"C11R2",0.052080964,"Pseudomonadaceae"
"C12R2",0.023197635,"Pseudomonadaceae"
"C10R3",0.004548556,"Pseudomonadaceae"
"C11R3",0.006595406,"Pseudomonadaceae"
"C12R3",0.611098476,"Pseudomonadaceae"
"C2R4",0.446213327,"Pseudomonadaceae"
"C9R4",0.017057084,"Pseudomonadaceae"
"C11R4",0.013873095,"Pseudomonadaceae"
"C12R4",0.037753013,"Pseudomonadaceae"
"C12R5",0.013190812,"Pseudomonadaceae"
"C12R6",0.030702752,"Pseudomonadaceae"
"C2R7",0.215601547,"Pseudomonadaceae"
"C8R7",0.019331362,"Pseudomonadaceae"
"C10R7",0.017284512,"Pseudomonadaceae"
"C11R7",0.0040937,"Pseudomonadaceae"
"C12R7",0.024334774,"Pseudomonadaceae"
"C12R1",0.0040937,"Pseudomonadaceae"
"C12R5",0.005458267,"Pseudomonadaceae"
"C12R6",0.015237662,"Pseudomonadaceae"
"C7R1",0.008414828,"Pseudomonadaceae"
"C7R7",0.002274278,"Pseudomonadaceae"
"C12R7",0.020468501,"Pseudomonadaceae"
"C1R7",0.018194223,"Pseudomonadaceae"
"C1R8",0.001819422,"Pseudomonadaceae"
"C4R1",0.279963612,"Pseudomonadaceae"
"C5R1",0.000227428,"Pseudomonadaceae"
"C11R1",0.334773709,"Pseudomonadaceae"
"C12R1",0.002501706,"Pseudomonadaceae"
"C4R2",0.258585399,"Pseudomonadaceae"
"C5R2",0.000227428,"Pseudomonadaceae"
"C8R2",0.000454856,"Pseudomonadaceae"
"C9R2",0.000454856,"Pseudomonadaceae"
"C10R2",0.000454856,"Pseudomonadaceae"
"C11R2",0.000682283,"Pseudomonadaceae"
"C12R2",0.002729134,"Pseudomonadaceae"
"C4R3",0.216511258,"Pseudomonadaceae"
"C10R3",0.000682283,"Pseudomonadaceae"
"C11R3",0.000227428,"Pseudomonadaceae"
"C12R3",0.000682283,"Pseudomonadaceae"
"C4R4",0.30589038,"Pseudomonadaceae"
"C5R4",0.000909711,"Pseudomonadaceae"
"C11R4",0.008187401,"Pseudomonadaceae"
"C12R4",0.000909711,"Pseudomonadaceae"
"C4R5",0.276324767,"Pseudomonadaceae"
"C5R5",0.000227428,"Pseudomonadaceae"
"C2R6",0.000227428,"Pseudomonadaceae"
