"Transfer","dila_ord","dilp_ord","Species","Rel_abund","repb"
"0","-1","-4","A",0.0909008271975275,2
"0","-2","-4","A",0.0099000099000099,2
"0","-3","-4","A",0.000998901208670463,2
"0","-4","-4","A",9.99800039992002e-05,2
"0","-","-4","A",0,2
"0","0","-","A",0.5,2
"0","-1","-","A",0.0909090909090909,2
"0","-2","-","A",0.0099009900990099,2
"0","-3","-","A",0.000999000999000999,2
"0","-4","-","A",9.99900009999e-05,2
"0","-","-","A",0,2
"0","0","0","P",0.333333333333333,2
"0","-1","0","P",0.476190476190476,2
"0","-2","0","P",0.497512437810945,2
"0","-3","0","P",0.499750124937531,2
"0","-4","0","P",0.499975001249937,2
"0","-","0","P",0.5,2
"0","0","-1","P",0.0476190476190476,2
"0","-1","-1","P",0.0833333333333333,2
"0","-2","-1","P",0.0900900900900901,2
"0","-3","-1","P",0.0908265213442325,2
"0","-4","-1","P",0.0909008271975275,2
"0","-","-1","P",0.0909090909090909,2
"0","0","-2","P",0.00497512437810945,2
"0","-1","-2","P",0.00900900900900901,2
"0","-2","-2","P",0.00980392156862745,2
"0","-3","-2","P",0.00989119683481701,2
"0","-4","-2","P",0.0099000099000099,2
"0","-","-2","P",0.0099009900990099,2
"0","0","-3","P",0.000499750124937531,2
"0","-1","-3","P",0.000908265213442325,2
"0","-2","-3","P",0.000989119683481701,2
"0","-3","-3","P",0.000998003992015968,2
"0","-4","-3","P",0.000998901208670463,2
"0","-","-3","P",0.000999000999000999,2
"0","0","-4","P",4.99975001249937e-05,2
"0","-1","-4","P",9.09008271975275e-05,2
"0","-2","-4","P",9.9000099000099e-05,2
"0","-3","-4","P",9.98901208670463e-05,2
"0","-4","-4","P",9.99800039992002e-05,2
"0","-","-4","P",9.99900009999e-05,2
"0","0","-","P",0,2
"0","-1","-","P",0,2
"0","-2","-","P",0,2
"0","-3","-","P",0,2
"0","-4","-","P",0,2
"0","-","-","P",0,2
"3","-","-","K",1,1
"3","-","-","K",1,2
"3","-","-1","K",0.948247078464107,1
"3","-","-1","K",0.937384898710866,2
"3","-","-2","K",0.954337899543379,1
"3","-","-2","K",0.96260162601626,2
"3","-","-3","K",0.952380952380952,1
"3","-","-3","K",0.952,2
"3","-","-4","K",0.96078431372549,1
"3","-","-4","K",0.924092409240924,2
"3","-","0","K",0.912981455064194,1
"3","-","0","K",0.942528735632184,2
"3","-1","-","K",0.228882833787466,1
"3","-1","-","K",0.391089108910891,2
"3","-1","-1","K",0.231638418079096,1
"3","-1","-1","K",0.419270833333333,2
"3","-1","-2","K",0.165625,1
"3","-1","-2","K",0.205741626794258,2
"3","-1","-3","K",0.192982456140351,1
"3","-1","-3","K",0.202453987730061,2
"3","-1","-4","K",0.155339805825243,1
"3","-1","-4","K",0.20501138952164,2
"3","-1","0","K",0.917134831460674,1
"3","-1","0","K",0.884279475982533,2
"3","-2","-","K",0.57910447761194,1
"3","-2","-","K",0.619469026548673,2
"3","-2","-1","K",0.782407407407407,1
"3","-2","-1","K",0.925773195876289,2
"3","-2","-2","K",0.523929471032746,1
"3","-2","-2","K",0.525735294117647,2
"3","-2","-3","K",0.547008547008547,1
"3","-2","-3","K",0.218421052631579,2
"3","-2","-4","K",0.22478386167147,1
"3","-2","-4","K",0.246445497630332,2
"3","-2","0","K",0.914893617021277,1
"3","-2","0","K",0.920353982300885,2
"3","-3","-","K",0.589403973509934,1
"3","-3","-","K",0.78740157480315,2
"3","-3","-1","K",0.916309012875536,1
"3","-3","-1","K",0.949656750572082,2
"3","-3","-2","K",0.874172185430464,1
"3","-3","-2","K",0.928301886792453,2
"3","-3","-3","K",0.719921104536489,1
"3","-3","-3","K",0.794247787610619,2
"3","-3","-4","K",0.655378486055777,1
"3","-3","-4","K",0.640384615384615,2
"3","-3","0","K",0.900962861072902,1
"3","-3","0","K",0.912109375,2
"3","-4","-","K",0.627306273062731,1
"3","-4","-","K",0.764705882352941,2
"3","-4","-1","K",0.91304347826087,1
"3","-4","-1","K",0.949656750572082,2
"3","-4","-2","K",0.920583468395462,1
"3","-4","-2","K",0.906318082788671,2
"3","-4","-3","K",0.925858951175407,1
"3","-4","-3","K",0.94018691588785,2
"3","-4","-4","K",0.72967032967033,1
"3","-4","-4","K",0.656126482213439,2
"3","-4","0","K",0.903267973856209,1
"3","-4","0","K",0.927152317880795,2
"3","0","-","K",0.246376811594203,1
"3","0","-","K",0.281853281853282,2
"3","0","-1","K",0.253807106598985,1
"3","0","-1","K",0.299145299145299,2
"3","0","-2","K",0.301435406698565,1
"3","0","-2","K",0.324742268041237,2
"3","0","-3","K",0.38135593220339,1
"3","0","-3","K",0.281385281385281,2
"3","0","-4","K",0.239583333333333,1
"3","0","-4","K",0.314754098360656,2
"3","0","0","K",0.2178517397882,1
"3","0","0","K",0.193675889328063,2
"8","-","-","K",1,1
"8","-","-","K",1,2
"8","-","-1","K",0.980884109916368,1
"8","-","-1","K",0.989966555183946,2
"8","-","-2","K",0.97103274559194,1
"8","-","-2","K",0.983576642335766,2
"8","-","-3","K",0.983870967741935,1
"8","-","-3","K",0.979439252336449,2
"8","-","-4","K",0.973611111111111,1
"8","-","-4","K",0.970212765957447,2
"8","-","0","K",0.975891996142719,1
"8","-","0","K",0.978303747534517,2
"8","-1","-","K",0.480206540447504,1
"8","-1","-","K",0.163135593220339,2
"8","-1","-1","K",0.159722222222222,1
"8","-1","-1","K",0.165467625899281,2
"8","-1","-2","K",0.207792207792208,1
"8","-1","-2","K",0.228155339805825,2
"8","-1","-3","K",0.213414634146341,1
"8","-1","-3","K",0.178489702517162,2
"8","-1","-4","K",0.182926829268293,1
"8","-1","-4","K",0.231060606060606,2
"8","-1","0","K",0.945917285259809,1
"8","-1","0","K",0.945344129554656,2
"8","-2","-","K",0.273291925465839,1
"8","-2","-","K",0.633879781420765,2
"8","-2","-1","K",0.170093457943925,1
"8","-2","-1","K",0.148997134670487,2
"8","-2","-2","K",0.201238390092879,1
"8","-2","-2","K",0.248847926267281,2
"8","-2","-3","K",0.193548387096774,1
"8","-2","-3","K",0.244019138755981,2
"8","-2","-4","K",0.198019801980198,1
"8","-2","-4","K",0.207920792079208,2
"8","-2","0","K",0.884259259259259,1
"8","-2","0","K",0.924444444444444,2
"8","-3","-","K",0.690866510538642,1
"8","-3","-","K",0.676470588235294,2
"8","-3","-1","K",0.969279661016949,1
"8","-3","-1","K",0.971377459749553,2
"8","-3","-2","K",0.254545454545455,1
"8","-3","-2","K",0.715536105032823,2
"8","-3","-3","K",0.221198156682028,1
"8","-3","-3","K",0.214592274678112,2
"8","-3","-4","K",0.156923076923077,1
"8","-3","-4","K",0.645621181262729,2
"8","-3","0","K",0.9609375,1
"8","-3","0","K",0.954631379962193,2
"8","-4","-","K",0.653985507246377,1
"8","-4","-","K",0.689059500959693,2
"8","-4","-1","K",0.975308641975309,1
"8","-4","-1","K",0.97196261682243,2
"8","-4","-2","K",0.971479500891266,1
"8","-4","-2","K",0.953225806451613,2
"8","-4","-3","K",0.582338902147971,1
"8","-4","-3","K",0.748267898383372,2
"8","-4","-4","K",0.262948207171315,1
"8","-4","-4","K",0.141327623126338,2
