"E","P","R_F","Experiment","type","variable"
"iEC1368_DH5a","76869.5_PID",0.356669782,"fba","published","R/F"
"iECB_1328","76869.5_PID",0.303164068,"fba","published","R/F"
"iECD_1391","76869.5_PID",0.011880819,"fba","published","R/F"
"iG2583_1286","76869.5_PID",0.262989623,"fba","published","R/F"
"iY75_1357","76869.5_PID",0.303164068,"fba","published","R/F"
"iECNA114_1301","76869.5_PID",0.303164068,"fba","published","R/F"
"iECBD_1354","76869.5_PID",0.011880818,"fba","published","R/F"
"iAF1260b","76869.5_PID",0.461586592,"fba","published","R/F"
"iEcE24377_1341","76869.5_PID",0.303164068,"fba","published","R/F"
"iECSE_1348","76869.5_PID",0.303164068,"fba","published","R/F"
"iECSP_1301","76869.5_PID",0.303164068,"fba","published","R/F"
"iECH74115_1262","76869.5_PID",0.262989623,"fba","published","R/F"
"iECSF_1327","76869.5_PID",0.303164068,"fba","published","R/F"
"iECDH1ME8569_1439","76869.5_PID",0.356778134,"fba","published","R/F"
"iEC1344_C","76869.5_PID",0.356669782,"fba","published","R/F"
"iUMNK88_1353","76869.5_PID",0.356778134,"fba","published","R/F"
"iNRG857_1313","76869.5_PID",0.303164068,"fba","published","R/F"
"iEKO11_1354","76869.5_PID",0.303164068,"fba","published","R/F"
"iECP_1309","76869.5_PID",0.31370458,"fba","published","R/F"
"iECs_1301","76869.5_PID",0.303164068,"fba","published","R/F"
"iEC1349_Crooks","76869.5_PID",0.327056258,"fba","published","R/F"
"iYL1228","76869.5_PID",0.356421207,"fba","published","R/F"
"iML1515","76869.5_PID",0.508237556,"fba","published","R/F"
"iUTI89_1310","76869.5_PID",0.356778134,"fba","published","R/F"
"iECO103_1326","76869.5_PID",0.303164068,"fba","published","R/F"
"iECO26_1355","76869.5_PID",0.303164068,"fba","published","R/F"
"iUMN146_1321","76869.5_PID",0.31370458,"fba","published","R/F"
"iSDY_1059","76869.5_PID",0.406167364,"fba","published","R/F"
"iECW_1372","76869.5_PID",0.303164068,"fba","published","R/F"
"iEcDH1_1363","76869.5_PID",0.303164068,"fba","published","R/F"
"iECS88_1305","76869.5_PID",0.31370458,"fba","published","R/F"
"iEC1356_Bl21DE3","76869.5_PID",0.003809054,"fba","published","R/F"
"iEcSMS35_1347","303.492_PID",0.303265459,"fba","published","R/F"
"iEcolC_1368","303.492_PID",0.303265459,"fba","published","R/F"
"iZ_1308","303.492_PID",0.303265459,"fba","published","R/F"
"iECED1_1282","303.492_PID",0.303264346,"fba","published","R/F"
"iEC1364_W","303.492_PID",0.328741144,"fba","published","R/F"
"iJO1366","303.492_PID",0.356786565,"fba","published","R/F"
"iLF82_1304","303.492_PID",0.303265459,"fba","published","R/F"
"e_coli_core","303.492_PID",0.252290199,"fba","published","R/F"
"iJR904","303.492_PID",0.373655318,"fba","published","R/F"
"iWFL_1372","303.492_PID",0.303265459,"fba","published","R/F"
"iEcHS_1320","303.492_PID",0.356897455,"fba","published","R/F"
"iECIAI39_1322","303.492_PID",0.313799251,"fba","published","R/F"
"iECO111_1330","303.492_PID",0.303265459,"fba","published","R/F"
"iB21_1397","303.492_PID",0.011884792,"fba","published","R/F"
"iEC1372_W3110","303.492_PID",0.356789067,"fba","published","R/F"
"iECIAI1_1343","303.492_PID",0.358071699,"fba","published","R/F"
"iAPECO1_1312","303.492_PID",0.313809496,"fba","published","R/F"
"iECABU_c1320","303.492_PID",0.303265459,"fba","published","R/F"
"iBWG_1329","303.492_PID",0.303265459,"fba","published","R/F"
"iE2348C_1286","303.492_PID",0.303265459,"fba","published","R/F"
"iAF1260","303.492_PID",0.461740966,"fba","published","R/F"
"iEC042_1314","303.492_PID",0.303265459,"fba","published","R/F"
"iYS1720","303.492_PID",0.400401439,"fba","published","R/F"
"iECOK1_1307","303.492_PID",0.313809496,"fba","published","R/F"
"STM_v1_0","303.492_PID",0.429896582,"fba","published","R/F"
"iETEC_1333","303.492_PID",0.303265459,"fba","published","R/F"
"iEC55989_1330","303.492_PID",0.303265459,"fba","published","R/F"
"iEC1368_DH5a","303.492_PID",0.356789067,"fba","published","R/F"
"iECB_1328","303.492_PID",0.303265459,"fba","published","R/F"
"iECD_1391","303.492_PID",0.011884792,"fba","published","R/F"
"iG2583_1286","303.492_PID",0.263077578,"fba","published","R/F"
"iY75_1357","303.492_PID",0.303265459,"fba","published","R/F"
"iECNA114_1301","303.492_PID",0.303265459,"fba","published","R/F"
"iECBD_1354","303.492_PID",0.011884792,"fba","published","R/F"
"iAF1260b","303.492_PID",0.461740966,"fba","published","R/F"
"iEcE24377_1341","303.492_PID",0.303265459,"fba","published","R/F"
"iECSE_1348","303.492_PID",0.303265459,"fba","published","R/F"
"iECSP_1301","303.492_PID",0.303265459,"fba","published","R/F"
"iECH74115_1262","303.492_PID",0.263077578,"fba","published","R/F"
"iECSF_1327","303.492_PID",0.303265459,"fba","published","R/F"
"iECDH1ME8569_1439","303.492_PID",0.356897455,"fba","published","R/F"
"iEC1344_C","303.492_PID",0.356789067,"fba","published","R/F"
"iUMNK88_1353","303.492_PID",0.356897455,"fba","published","R/F"
"iNRG857_1313","303.492_PID",0.303265459,"fba","published","R/F"
"iEKO11_1354","303.492_PID",0.303265459,"fba","published","R/F"
"iECP_1309","303.492_PID",0.313809496,"fba","published","R/F"
"iECs_1301","303.492_PID",0.303265459,"fba","published","R/F"
"iEC1349_Crooks","303.492_PID",0.32716564,"fba","published","R/F"
"iYL1228","303.492_PID",0.356540409,"fba","published","R/F"
"iML1515","303.492_PID",0.508407532,"fba","published","R/F"
"iUTI89_1310","303.492_PID",0.356897455,"fba","published","R/F"
