"E_Genus","P_Species","ratioRF"
"Escherichia","P. putida",0.356667282365921
"Escherichia","P. putida",0.303164074087464
"Escherichia","P. putida",0.252205852898284
"Escherichia","P. putida",0.373530395055059
"Escherichia","P. putida",0.303164074087464
"Escherichia","P. putida",0.35677813124392
"Escherichia","P. putida",0.313694342352571
"Escherichia","P. putida",0.303164074087464
"Escherichia","P. putida",0.0118808190089888
"Escherichia","P. putida",0.356669780855111
"Escherichia","P. putida",0.357951991730422
"Escherichia","P. putida",0.313704581225979
"Escherichia","P. putida",0.303164074087464
"Escherichia","P. putida",0.303164074087464
"Escherichia","P. putida",0.303164074087464
"Escherichia","P. putida",0.46158659918766
"Escherichia","P. putida",0.303164074087464
"Salmonella","P. putida",0.400267569790255
"Escherichia","P. putida",0.313704581225979
"Salmonella","P. putida",0.429752852038091
"Escherichia","P. putida",0.303164074087464
"Escherichia","P. putida",0.303164074087464
"Escherichia","P. putida",0.356669780855111
"Escherichia","P. putida",0.303164074087464
"Escherichia","P. putida",0.0118808190089888
"Escherichia","P. putida",0.262989620779076
"Escherichia","P. putida",0.303164074087464
"Escherichia","P. putida",0.303164074087464
"Escherichia","P. putida",0.0118808183954276
"Escherichia","P. putida",0.46158659918766
"Escherichia","P. putida",0.303164074087464
"Escherichia","P. putida",0.303164074087464
"Escherichia","P. putida",0.303164074087464
"Escherichia","P. putida",0.262989620779076
"Escherichia","P. putida",0.303164074087464
"Escherichia","P. putida",0.35677813124392
"Escherichia","P. putida",0.356669780855111
"Escherichia","P. putida",0.35677813124392
"Escherichia","P. putida",0.303164074087464
"Escherichia","P. putida",0.303164074087464
"Escherichia","P. putida",0.313704581225979
"Escherichia","P. putida",0.303164074087464
"Escherichia","P. putida",0.3270562562611
"Klebsiella","P. putida",0.356421206029445
"Escherichia","P. putida",0.508237560097479
"Escherichia","P. putida",0.35677813124392
"Escherichia","P. putida",0.303164074087464
"Escherichia","P. putida",0.303164074087464
"Escherichia","P. putida",0.313704581225979
"Shigella","P. putida",0.406167371489263
"Escherichia","P. putida",0.303164074087464
"Escherichia","P. putida",0.303164074087464
"Escherichia","P. putida",0.313704581225979
"Escherichia","P. putida",0.00380905420740828
"Escherichia","P. putida",0.223462233189013
"Escherichia","P. putida",0.223462233189013
"Escherichia","P. putida",0.223462233189013
"Escherichia","P. putida",0.223461399339468
"Escherichia","P. putida",0.242375033179471
"Escherichia","P. putida",0.263195583361866
"Escherichia","P. putida",0.223462233189013
"Escherichia","P. putida",0.185618882387092
"Escherichia","P. putida",0.275718721020792
"Escherichia","P. putida",0.223462233189013
"Escherichia","P. putida",0.263277902664891
"Escherichia","P. putida",0.231282380374408
"Escherichia","P. putida",0.223462233189013
"Escherichia","P. putida",0.00714512628050884
"Escherichia","P. putida",0.263197434000459
"Escherichia","P. putida",0.264149641605194
"Escherichia","P. putida",0.231289986282816
"Escherichia","P. putida",0.223462233189013
"Escherichia","P. putida",0.223462233189013
"Escherichia","P. putida",0.223462233189013
"Escherichia","P. putida",0.341112319984408
"Escherichia","P. putida",0.223462233189013
"Salmonella","P. putida",0.295574675429171
"Escherichia","P. putida",0.231289986282816
"Salmonella","P. putida",0.317471479885421
"Escherichia","P. putida",0.223462233189013
"Escherichia","P. putida",0.223462233189013
"Escherichia","P. putida",0.263197434000459
"Escherichia","P. putida",0.223462233189013
"Escherichia","P. putida",0.00714512628050884
"Escherichia","P. putida",0.193627284875904
"Escherichia","P. putida",0.223462233189013
"Escherichia","P. putida",0.223462233189013
"Escherichia","P. putida",0.00714512567929836
"Escherichia","P. putida",0.341112319984408
"Escherichia","P. putida",0.223462233189013
"Escherichia","P. putida",0.223462233189013
"Escherichia","P. putida",0.223462233189013
"Escherichia","P. putida",0.193627284875904
"Escherichia","P. putida",0.223462233189013
"Escherichia","P. putida",0.263277902664891
"Escherichia","P. putida",0.263197434000459
"Escherichia","P. putida",0.263277902664891
"Escherichia","P. putida",0.223462233189013
"Escherichia","P. putida",0.223462233189013
"Escherichia","P. putida",0.231289986282816
"Escherichia","P. putida",0.223462233189013
"Escherichia","P. putida",0.241205401188603
"Klebsiella","P. putida",0.263012840315046
"Escherichia","P. putida",0.375756961760698
"Escherichia","P. putida",0.263277902664891
"Escherichia","P. putida",0.223462233189013
"Escherichia","P. putida",0.223462233189013
"Escherichia","P. putida",0.231289986282816
"Shigella","P. putida",0.299956068699297
"Escherichia","P. putida",0.223462233189013
"Escherichia","P. putida",0.223462233189013
"Escherichia","P. putida",0.231289986282816
"Escherichia","P. putida",0.00115075149108437
"Escherichia","P. putida",0.258889353528407
"Escherichia","P. putida",0.258889353528407
"Escherichia","P. putida",0.258889353528407
"Escherichia","P. putida",0.258888402308432
"Escherichia","P. putida",0.280676608440844
"Escherichia","P. putida",0.30466154747296
"Escherichia","P. putida",0.258889353528407
"Escherichia","P. putida",0.215294414785309
"Escherichia","P. putida",0.319087999502244
"Escherichia","P. putida",0.258889353528407
"Escherichia","P. putida",0.304756386296096
"Escherichia","P. putida",0.267898038387496
"Escherichia","P. putida",0.258889353528407
"Escherichia","P. putida",0.00969547506324382
"Escherichia","P. putida",0.304663685511374
"Escherichia","P. putida",0.305760622034728
"Escherichia","P. putida",0.267906801182984
"Escherichia","P. putida",0.258889353528407
"Escherichia","P. putida",0.258889353528407
"Escherichia","P. putida",0.258889353528407
"Escherichia","P. putida",0.394420392738409
"Escherichia","P. putida",0.258889353528407
"Salmonella","P. putida",0.34196175641942
"Escherichia","P. putida",0.267906801182984
"Salmonella","P. putida",0.367186522934973
"Escherichia","P. putida",0.258889353528407
"Escherichia","P. putida",0.258889353528407
"Escherichia","P. putida",0.304663685511374
"Escherichia","P. putida",0.258889353528407
"Escherichia","P. putida",0.00969547506324382
"Escherichia","P. putida",0.224519966600505
"Escherichia","P. putida",0.258889353528407
"Escherichia","P. putida",0.258889353528407
"Escherichia","P. putida",0.00969547445538204
"Escherichia","P. putida",0.394420392738409
"Escherichia","P. putida",0.258889353528407
"Escherichia","P. putida",0.258889353528407
"Escherichia","P. putida",0.258889353528407
"Escherichia","P. putida",0.224519966600505
"Escherichia","P. putida",0.258889353528407
"Escherichia","P. putida",0.304756386296096
"Escherichia","P. putida",0.304663685511374
"Escherichia","P. putida",0.304756386296096
"Escherichia","P. putida",0.258889353528407
"Escherichia","P. putida",0.258889353528407
"Escherichia","P. putida",0.267906801182984
"Escherichia","P. putida",0.258889353528407
"Escherichia","P. putida",0.279329210529658
"Klebsiella","P. putida",0.304451030241421
"Escherichia","P. putida",0.434330472947659
"Escherichia","P. putida",0.304756386296096
"Escherichia","P. putida",0.258889353528407
"Escherichia","P. putida",0.258889353528407
"Escherichia","P. putida",0.267906801182984
"Shigella","P. putida",0.347009052057566
"Escherichia","P. putida",0.258889353528407
"Escherichia","P. putida",0.258889353528407
"Escherichia","P. putida",0.267906801182984
"Escherichia","P. putida",0.00279005071295083
"Escherichia","P. putida",0.303265463475247
"Escherichia","P. putida",0.303265463475247
"Escherichia","P. putida",0.303265463475247
"Escherichia","P. putida",0.303264339879888
"Escherichia","P. putida",0.328741141751248
"Escherichia","P. putida",0.356786569153159
"Escherichia","P. putida",0.303265463475247
"Escherichia","P. putida",0.252290197465903
"Escherichia","P. putida",0.373655314214324
"Escherichia","P. putida",0.303265463475247
"Escherichia","P. putida",0.356897454693149
"Escherichia","P. putida",0.313799253974678
"Escherichia","P. putida",0.303265463475247
"Escherichia","P. putida",0.0118847921773115
"Escherichia","P. putida",0.356789068469124
"Escherichia","P. putida",0.35807170339986
"Escherichia","P. putida",0.313809496229533
"Escherichia","P. putida",0.303265463475247
"Escherichia","P. putida",0.303265463475247
"Escherichia","P. putida",0.303265463475247
"Escherichia","P. putida",0.461740960643558
"Escherichia","P. putida",0.303265463475247
"Salmonella","P. putida",0.400401439191784
"Escherichia","P. putida",0.313809496229533
"Salmonella","P. putida",0.429896580180403
"Escherichia","P. putida",0.303265463475247
"Escherichia","P. putida",0.303265463475247
"Escherichia","P. putida",0.356789068469124
"Escherichia","P. putida",0.303265463475247
"Escherichia","P. putida",0.0118847921773115
"Escherichia","P. putida",0.26307757390484
"Escherichia","P. putida",0.303265463475247
"Escherichia","P. putida",0.303265463475247
"Escherichia","P. putida",0.01188479156374
"Escherichia","P. putida",0.461740960643558
"Escherichia","P. putida",0.303265463475247
"Escherichia","P. putida",0.303265463475247
"Escherichia","P. putida",0.303265463475247
"Escherichia","P. putida",0.26307757390484
"Escherichia","P. putida",0.303265463475247
"Escherichia","P. putida",0.356897454693149
"Escherichia","P. putida",0.356789068469124
"Escherichia","P. putida",0.356897454693149
"Escherichia","P. putida",0.303265463475247
"Escherichia","P. putida",0.303265463475247
"Escherichia","P. putida",0.313809496229533
"Escherichia","P. putida",0.303265463475247
"Escherichia","P. putida",0.327165640792992
"Klebsiella","P. putida",0.3565404114357
"Escherichia","P. putida",0.508407537914988
"Escherichia","P. putida",0.356897454693149
"Escherichia","P. putida",0.303265463475247
