"time_hours","variable","Family","SangerID","value"
28,"pH","Enterobacteriaceae",439,4.790191863
28,"pH","Enterobacteriaceae",283,5.147107317
28,"pH","Enterobacteriaceae",284,6.27687424
28,"pH","Enterobacteriaceae",286,4.396847042
28,"pH","Enterobacteriaceae",287,6.252164236
28,"pH","Enterobacteriaceae",440,6.066353964
28,"pH","Pseudomonadaceae",441,6.3585967
28,"pH","Enterobacteriaceae",442,5.322428129
28,"pH","Enterobacteriaceae",160,5.006857664
28,"pH","Enterobacteriaceae",165,5.690342855
28,"pH","Enterobacteriaceae",169,4.592678668
28,"pH","Pseudomonadaceae",523,6.363493344
28,"pH","Enterobacteriaceae",276,4.976675107
28,"pH","Enterobacteriaceae",277,5.285247846
28,"pH","Enterobacteriaceae",278,4.662880112
28,"pH","Enterobacteriaceae",288,5.966499379
28,"pH","Enterobacteriaceae",289,4.706966936
28,"pH","Pseudomonadaceae",290,6.3585967
28,"pH","Pseudomonadaceae",444,6.400972425
28,"pH","Pseudomonadaceae",294,6.350299123
28,"pH","Enterobacteriaceae",295,6.085576543
28,"pH","Enterobacteriaceae",303,5.743960552
28,"pH","Pseudomonadaceae",304,6.448305977
28,"pH","Enterobacteriaceae",305,5.72356402
28,"pH","Enterobacteriaceae",308,6.304880723
28,"pH","Enterobacteriaceae",310,6.31858073
28,"pH","Enterobacteriaceae",311,6.325004159
28,"pH","Pseudomonadaceae",316,6.293778499
28,"pH","Enterobacteriaceae",317,6.371606157
28,"pH","Enterobacteriaceae",320,6.408293596
28,"pH","Pseudomonadaceae",321,6.362721652
28,"pH","Enterobacteriaceae",322,6.249311934
28,"pH","Pseudomonadaceae",325,6.332093341
28,"pH","Enterobacteriaceae",448,6.239542929
28,"pH","Pseudomonadaceae",449,6.339958548
48,"pH","Pseudomonadaceae",326,6.332093341
48,"pH","Enterobacteriaceae",327,6.534303066
48,"pH","Enterobacteriaceae",332,5.997321065
48,"pH","Pseudomonadaceae",335,6.272373447
48,"pH","Moraxellaceae",336,6.535116948
48,"pH","Enterobacteriaceae",338,6.39718356
48,"pH","Enterobacteriaceae",340,6.371606157
48,"pH","Enterobacteriaceae",461,6.394949193
48,"pH","Enterobacteriaceae",280,6.39917919
48,"pH","Aeromonadaceae",343,6.105116591
48,"pH","Enterobacteriaceae",344,6.066353964
48,"pH","Enterobacteriaceae",345,6.421494952
48,"pH","Enterobacteriaceae",346,5.474110347
48,"pH","Enterobacteriaceae",348,6.099068805
48,"pH","Pseudomonadaceae",350,6.655835377
48,"pH","Moraxellaceae",453,6.642554795
48,"pH","Moraxellaceae",454,6.528239184
48,"pH","Enterobacteriaceae",458,6.272373447
48,"pH","Enterobacteriaceae",460,6.04824015
48,"pH","Pseudomonadaceae",352,6.350299123
48,"pH","Enterobacteriaceae",356,6.381453
48,"pH","Pseudomonadaceae",462,6.371606157
48,"pH","Enterobacteriaceae",358,6.408293596
48,"pH","Enterobacteriaceae",360,6.285809737
48,"pH","Enterobacteriaceae",259,5.020497941
48,"pH","Enterobacteriaceae",364,6.434561555
48,"pH","Pseudomonadaceae",428,6.857808019
