"w_ratio","rf_pair","Experiment","type","variable"
0.373264074309205,"76869.5_PID_iEC55989_1330","fba","published","w[ace,R] / w[glu,F]"
0.389189677530157,"76869.5_PID_iEC1368_DH5a","fba","published","w[ace,R] / w[glu,F]"
0.373264074309205,"76869.5_PID_iECB_1328","fba","published","w[ace,R] / w[glu,F]"
0.271712742791962,"76869.5_PID_iECD_1391","fba","published","w[ace,R] / w[glu,F]"
0.3527348943318,"76869.5_PID_iG2583_1286","fba","published","w[ace,R] / w[glu,F]"
0.373264074309205,"76869.5_PID_iY75_1357","fba","published","w[ace,R] / w[glu,F]"
0.373264074309205,"76869.5_PID_iECNA114_1301","fba","published","w[ace,R] / w[glu,F]"
0.216561023192518,"76869.5_PID_iECBD_1354","fba","published","w[ace,R] / w[glu,F]"
0.43910561462785,"76869.5_PID_iAF1260b","fba","published","w[ace,R] / w[glu,F]"
0.373264074309205,"76869.5_PID_iEcE24377_1341","fba","published","w[ace,R] / w[glu,F]"
0.373264074309205,"76869.5_PID_iECSE_1348","fba","published","w[ace,R] / w[glu,F]"
0.373264074309205,"76869.5_PID_iECSP_1301","fba","published","w[ace,R] / w[glu,F]"
0.3527348943318,"76869.5_PID_iECH74115_1262","fba","published","w[ace,R] / w[glu,F]"
0.373264074309205,"76869.5_PID_iECSF_1327","fba","published","w[ace,R] / w[glu,F]"
0.38925058259581,"76869.5_PID_iECDH1ME8569_1439","fba","published","w[ace,R] / w[glu,F]"
0.389189677530157,"76869.5_PID_iEC1344_C","fba","published","w[ace,R] / w[glu,F]"
0.38925058259581,"76869.5_PID_iUMNK88_1353","fba","published","w[ace,R] / w[glu,F]"
0.373264074309205,"76869.5_PID_iNRG857_1313","fba","published","w[ace,R] / w[glu,F]"
0.373264074309205,"76869.5_PID_iEKO11_1354","fba","published","w[ace,R] / w[glu,F]"
0.376234593902279,"76869.5_PID_iECP_1309","fba","published","w[ace,R] / w[glu,F]"
0.373264074309205,"76869.5_PID_iECs_1301","fba","published","w[ace,R] / w[glu,F]"
0.378086479511918,"76869.5_PID_iEC1349_Crooks","fba","published","w[ace,R] / w[glu,F]"
0.373078007910112,"76869.5_PID_iYL1228","fba","published","w[ace,R] / w[glu,F]"
0.465665597643143,"76869.5_PID_iML1515","fba","published","w[ace,R] / w[glu,F]"
0.38925058259581,"76869.5_PID_iUTI89_1310","fba","published","w[ace,R] / w[glu,F]"
0.373264074309205,"76869.5_PID_iECO103_1326","fba","published","w[ace,R] / w[glu,F]"
0.373264074309205,"76869.5_PID_iECO26_1355","fba","published","w[ace,R] / w[glu,F]"
0.376234593902279,"76869.5_PID_iUMN146_1321","fba","published","w[ace,R] / w[glu,F]"
0.414158748426639,"76869.5_PID_iSDY_1059","fba","published","w[ace,R] / w[glu,F]"
0.373264074309205,"76869.5_PID_iECW_1372","fba","published","w[ace,R] / w[glu,F]"
0.373264074309205,"76869.5_PID_iEcDH1_1363","fba","published","w[ace,R] / w[glu,F]"
0.376234593902279,"76869.5_PID_iECS88_1305","fba","published","w[ace,R] / w[glu,F]"
0.139757839230296,"76869.5_PID_iEC1356_Bl21DE3","fba","published","w[ace,R] / w[glu,F]"
