"Experiment","w_ratio","rf_pair","type"
"empir_calc",0.281731648500444,"304_273","emp"
"empir_calc",0.264581181947985,"304_276","emp"
"empir_calc",0.39597338106,"304_277","emp"
"empir_calc",0.334592292464224,"304_278","emp"
"empir_calc",0.254929742053465,"304_280","emp"
"empir_calc",0.238567804349542,"304_283","emp"
"empir_calc",0.289091893439315,"304_284","emp"
"empir_calc",0.421564976397558,"304_286","emp"
"empir_calc",0.301644627740459,"304_287","emp"
"empir_calc",0.32642562573323,"304_288","emp"
"empir_calc",0.334673503352355,"304_289","emp"
"empir_calc",0.236123459043187,"304_295","emp"
"empir_calc",0.224179468904243,"304_303","emp"
"empir_calc",0.231382018327693,"304_305","emp"
"empir_calc",0.248873103817693,"304_308","emp"
"empir_calc",0.215783238238826,"304_310","emp"
"empir_calc",0.257603387417941,"304_311","emp"
"empir_calc",0.238567804349542,"304_317","emp"
"empir_calc",0.222878625352287,"304_320","emp"
"empir_calc",0.213781535946493,"304_322","emp"
"empir_calc",0.251368858147119,"304_327","emp"
"empir_calc",0.413895275932864,"304_332","emp"
"empir_calc",0.246741429488035,"304_338","emp"
"empir_calc",0.264892513299235,"304_340","emp"
"empir_calc",0.130532276020146,"304_343","emp"
"empir_calc",0.244645961922896,"304_345","emp"
"empir_calc",0.336542117850907,"304_346","emp"
"empir_calc",0.363535094336957,"304_348","emp"
"empir_calc",0.273052710299214,"304_356","emp"
"empir_calc",0.260697390397056,"304_358","emp"
"empir_calc",0.252693517446773,"304_360","emp"
"empir_calc",0.284266670900886,"304_364","emp"
"empir_calc",0.360428708792351,"304_435","emp"
"empir_calc",0.334543666388026,"304_438","emp"
"empir_calc",0.304570483166103,"304_439","emp"
"empir_calc",0.263680201792177,"304_440","emp"
"empir_calc",0.230918339292552,"304_442","emp"
"empir_calc",0.219901229566991,"304_448","emp"
"empir_calc",0.430772308897405,"304_458","emp"
"empir_calc",0.414627859023522,"304_460","emp"
"empir_calc",0.267972662561208,"304_461","emp"
"empir_calc",0.696575372240962,"316_160","emp"
"empir_calc",1.20757658695413,"316_165","emp"
"empir_calc",0.896623033743189,"316_169","emp"
"empir_calc",0.855060161923651,"316_259","emp"
"empir_calc",0.768457837496841,"316_269","emp"
"empir_calc",1.05319291037612,"316_270","emp"
"empir_calc",0.764700066607392,"316_273","emp"
"empir_calc",0.718148807688418,"316_276","emp"
"empir_calc",1.07478471972544,"316_277","emp"
"empir_calc",0.908178934441965,"316_278","emp"
"empir_calc",0.691952046446009,"316_280","emp"
"empir_calc",0.647541079773955,"316_283","emp"
"empir_calc",0.784677871106669,"316_284","emp"
"empir_calc",1.14424761025756,"316_286","emp"
"empir_calc",0.818749573051701,"316_287","emp"
"empir_calc",0.886012271142363,"316_288","emp"
"empir_calc",0.908399363960247,"316_289","emp"
"empir_calc",0.640906429288181,"316_295","emp"
"empir_calc",0.608487032662269,"316_303","emp"
"empir_calc",0.628036806545222,"316_305","emp"
"empir_calc",0.675512602432659,"316_308","emp"
"empir_calc",0.585697267354502,"316_310","emp"
"empir_calc",0.699209082704382,"316_311","emp"
"empir_calc",0.647541079773955,"316_317","emp"
"empir_calc",0.604956172156813,"316_320","emp"
"empir_calc",0.580264076286253,"316_322","emp"
"empir_calc",0.682286791673045,"316_327","emp"
"empir_calc",1.12342985517954,"316_332","emp"
"empir_calc",0.669726630176609,"316_338","emp"
"empir_calc",0.718993849792508,"316_340","emp"
"empir_calc",0.354301835446303,"316_343","emp"
"empir_calc",0.664038933408551,"316_345","emp"
"empir_calc",0.913471316788804,"316_346","emp"
"empir_calc",0.986737955544804,"316_348","emp"
"empir_calc",0.741142952396449,"316_356","emp"
"empir_calc",0.707607089448766,"316_358","emp"
"empir_calc",0.685882294911921,"316_360","emp"
"empir_calc",0.771580840594933,"316_364","emp"
"empir_calc",0.978306338985172,"316_435","emp"
"empir_calc",0.908046949399087,"316_438","emp"
"empir_calc",0.826691179366727,"316_439","emp"
"empir_calc",0.715703290513384,"316_440","emp"
"empir_calc",0.626778249365208,"316_442","emp"
"empir_calc",0.596874670602228,"316_448","emp"
"empir_calc",1.1692389373356,"316_458","emp"
"empir_calc",1.12541829467933,"316_460","emp"
"empir_calc",0.727354253596371,"316_461","emp"
"empir_calc",0.449107838589656,"321_160","emp"
"empir_calc",0.778569172139551,"321_165","emp"
"empir_calc",0.578085945557672,"321_169","emp"
"empir_calc",0.551288828874663,"321_259","emp"
"empir_calc",0.49545311562652,"321_269","emp"
"empir_calc",0.679032320759895,"321_270","emp"
"empir_calc",0.493030342112942,"321_273","emp"
"empir_calc",0.463017028249334,"321_276","emp"
"empir_calc",0.692953356751904,"321_277","emp"
"empir_calc",0.585536461026066,"321_278","emp"
"empir_calc",0.446127009898875,"321_280","emp"
"empir_calc",0.417493621400518,"321_283","emp"
"empir_calc",0.505910769638786,"321_284","emp"
"empir_calc",0.737738644708193,"321_286","emp"
"empir_calc",0.527878052760462,"321_287","emp"
"empir_calc",0.571244795486411,"321_288","emp"
"empir_calc",0.585678580067971,"321_289","emp"
"empir_calc",0.413216017485412,"321_295","emp"
"empir_calc",0.392314036555189,"321_303","emp"
"empir_calc",0.404918496952982,"321_305","emp"
"empir_calc",0.435527893905585,"321_308","emp"
"empir_calc",0.377620634165137,"321_310","emp"
"empir_calc",0.450805888880886,"321_311","emp"
"empir_calc",0.417493621400518,"321_317","emp"
"empir_calc",0.390037560536714,"321_320","emp"
"empir_calc",0.374117655457383,"321_322","emp"
"empir_calc",0.439895463603261,"321_327","emp"
"empir_calc",0.724316670059129,"321_332","emp"
"empir_calc",0.431797464152241,"321_338","emp"
"empir_calc",0.463561858066766,"321_340","emp"
"empir_calc",0.228431463222323,"321_343","emp"
"empir_calc",0.42813039623131,"321_345","emp"
"empir_calc",0.588948655156807,"321_346","emp"
"empir_calc",0.636186359910247,"321_348","emp"
"empir_calc",0.477842201578128,"321_356","emp"
"empir_calc",0.456220393624713,"321_358","emp"
"empir_calc",0.442213617176591,"321_360","emp"
"empir_calc",0.497466630928935,"321_364","emp"
"empir_calc",0.630750185678691,"321_435","emp"
"empir_calc",0.585451365400101,"321_438","emp"
"empir_calc",0.532998299311237,"321_439","emp"
"empir_calc",0.461440313113426,"321_440","emp"
"empir_calc",0.404107058711864,"321_442","emp"
"empir_calc",0.384827118364373,"321_448","emp"
"empir_calc",0.753851475185383,"321_458","emp"
"empir_calc",0.725598690356585,"321_460","emp"
"empir_calc",0.468952118807696,"321_461","emp"
"empir_calc",0.467438761237423,"325_160","emp"
"empir_calc",0.810347489158564,"325_165","emp"
"empir_calc",0.601681277995102,"325_169","emp"
"empir_calc",0.573790402016682,"325_259","emp"
"empir_calc",0.515675681250548,"325_269","emp"
"empir_calc",0.706747911265444,"325_270","emp"
"empir_calc",0.513154019073593,"325_273","emp"
"empir_calc",0.481915672628579,"325_276","emp"
"empir_calc",0.721237152512448,"325_277","emp"
"empir_calc",0.609435895977418,"325_278","emp"
"empir_calc",0.464336266132783,"325_280","emp"
"empir_calc",0.434534168508005,"325_283","emp"
"empir_calc",0.52656017806159,"325_284","emp"
"empir_calc",0.767850410454437,"325_286","emp"
"empir_calc",0.549424084517541,"325_287","emp"
"empir_calc",0.594560897454001,"325_288","emp"
"empir_calc",0.609583815793524,"325_289","emp"
"empir_calc",0.430081968605593,"325_295","emp"
"empir_calc",0.408326846040567,"325_303","emp"
"empir_calc",0.421445773941966,"325_305","emp"
"empir_calc",0.453304533385312,"325_308","emp"
"empir_calc",0.393033713252822,"325_310","emp"
"empir_calc",0.469206119667736,"325_311","emp"
"empir_calc",0.434534168508005,"325_317","emp"
"empir_calc",0.405957452681938,"325_320","emp"
"empir_calc",0.38938775589671,"325_322","emp"
"empir_calc",0.457850371141142,"325_327","emp"
"empir_calc",0.75388060039051,"325_332","emp"
