seq,isolate,csource,r.sem,r,t.r.sem,t.r,lag.sem,lag,maxOD.sem,maxOD
273,1.6.A.2,Dlactate,0.045657465,0.260543175,0.171796068,4.708333333,0.363287502,1.877155569,0.017448502,0.431179467
273,1.6.A.2,succinate,0.011424702,0.185080099,6.666666667,9.833333333,5.286797377,7.250976151,0.005740884,0.336837014
274,1.6.A.4,Dlactate,0.06235283,0.80500595,0.068041382,4.833333333,0.346072463,3.134463461,0.014817664,0.501146012
274,1.6.A.4,succinate,0.01708331,0.332867786,0.5,4.5,0.234817317,2.810531344,0.006914779,0.411360225
276,2.6.A.1,Dlactate,0.030895525,0.264759247,5.255728797,6.916666667,4.494747621,5.229833078,0.028154884,0.453120218
276,2.6.A.1,succinate,0.005930941,0.187368996,0.166666667,5.166666667,0.186970693,2.870314538,0.107088332,0.493108345
277,2.6.A.2,Dlactate,0.03732588,0.457081993,0.166666667,1.333333333,0.09093944,0.560590307,0.019008623,0.407480372
277,2.6.A.2,succinate,0.02014841,0.30406754,0.666666667,1.833333333,0.284857666,0.480834765,0.045651512,0.355769031
278,2.6.A.3,Dlactate,0.10744575,0.318719026,0,1.166666667,1.189736292,-0.717775727,0.014736866,0.647048822
278,2.6.A.3,succinate,0.036366585,0.327112839,0,5.166666667,0.302288841,3.279850781,0.001956743,0.399741376
280,11.2.B.2,Dlactate,0.109831569,0.341668615,8.5,9.666666667,7.672458404,8.151937413,0.217055686,0.601007463
280,11.2.B.2,succinate,0.028765829,0.250512847,1,7.5,0.438629946,4.905443043,0.007653656,0.262233595
283,1.7.A.3,Dlactate,0.02136733,0.193327671,8.962499031,25.08333333,8.004892585,20.70141984,0.018303287,0.593259547
283,1.7.A.3,succinate,0.009773023,0.174618935,2,3.166666667,1.428381459,1.521248286,0.146496188,0.462619033
284,1.7.A.4,Dlactate,0.099170274,0.494176941,0.291666667,1.458333333,0.225761701,0.817432032,0.02053481,0.237549224
284,1.7.A.4,succinate,0.054237908,0.478158134,0.416666667,12.41666667,0.128961513,10.68764185,0.003124797,0.796714265
286,1.7.B.3,Dlactate,0.022204282,0.217412082,0.556942713,5.5,0.148331072,2.76473692,0.028864565,0.519698675
286,1.7.B.3,succinate,0.092845042,0.243130077,0.583333333,4.75,0.556310527,3.094565026,0.02881569,0.527817879
287,1.7.B.4,Dlactate,0.023485697,0.350489984,0.041666667,1.208333333,0.192386906,0.228543623,0.018324975,0.568872085
287,1.7.B.4,succinate,0.127118948,0.20338518,1.166666667,2.333333333,0.554851706,1.31469861,0.102058824,0.565365451
288,2.8.A.1,Dlactate,0.050397805,0.489018553,0,1.166666667,0.072032499,0.126142395,0.044157815,0.506280126
288,2.8.A.1,succinate,0.038279798,0.340616012,0,1.166666667,0.215087909,0.313333381,0.026614723,0.192363361
289,2.8.A.2,Dlactate,0.006773804,0.29456711,0.083333333,2.083333333,0.052682234,1.283646954,0.007437127,0.557081199
289,2.8.A.2,succinate,0.057177683,0.315438328,0.083333333,6.25,0.349077656,4.034666928,0.004460793,0.405191948
290,2.8.A.3,Dlactate,0.036719364,0.327036817,0.362444121,5.791666667,0.355429163,4.814831964,0.054733999,0.604073351
290,2.8.A.3,succinate,0.0037551,0.183726337,1.5,12.66666667,0.538829461,8.395364381,0.017851955,0.550032858
294,4.1.A.1,Dlactate,0.023496365,0.224358973,1.097925232,7.791666667,1.123259239,5.390761238,0.023509793,0.599410203
295,4.1.A.2,Dlactate,0.069773161,0.506187273,0.208333333,1.375,0.149752836,0.468808778,0.004777812,0.555513865
295,4.1.A.2,succinate,0.108305322,0.31648031,0,1.166666667,0.002320358,0.114368802,0.026074905,0.250295083
303,7.1.A.1,Dlactate,0.042092032,0.448104216,0,1.166666667,0.121558721,0.315741227,0.009455425,0.606247181
303,7.1.A.1,succinate,0.119356087,0.252752666,2.5,3.666666667,0.782449347,1.198394876,0.135687657,0.633524039
304,7.1.A.2,Dlactate,0.021565389,0.670630332,0.048112522,4.916666667,0.047250189,3.884561062,0.003877732,0.304001965
304,7.1.A.2,succinate,0.238993936,0.344746679,0.75,10.41666667,0.132582455,8.171579603,0.255671382,0.508757313
305,7.1.A.3,Dlactate,0.10381124,0.413927962,0.32185084,1.541666667,0.188618054,0.36268716,0.007293301,0.597263559
305,7.1.A.3,succinate,0.117052052,0.218279603,0.083333333,1.25,0.514367881,-0.154556715,0.110829877,0.506942059
308,7.1.B.2,Dlactate,0.073846395,0.556271967,0.041666667,1.208333333,0.123354087,0.643147245,0.038828916,0.386296018
308,7.1.B.2,succinate,0.14320067,0.22241031,0,1.166666667,0.453806173,-0.261436199,0.237438858,0.426159166
310,8.2.A.1,Dlactate,0.038672483,0.394929329,0.104858812,1.541666667,0.070437557,0.836618575,0.005303844,0.53592349
311,8.2.A.2,Dlactate,0.106084512,0.252822251,0.125,1.375,2.382064178,-3.485041608,0.198626565,0.656263059
316,8.4.A.1,Dlactate,0.120569586,0.615773311,0.096225045,2.666666667,0.02723485,1.906006249,0.035881168,0.499427617
316,8.4.A.1,succinate,0.136824865,0.250917008,0,8.666666667,0.405765879,6.1602612,0.199429324,0.460812519
317,8.4.A.2,Dlactate,0.040972038,0.533464779,0,1.166666667,0.081275187,0.273862249,0.017122264,0.569922972
317,8.4.A.2,succinate,0.130938697,0.193325514,0.5,2.5,0.836202108,0.419720773,0.224566399,0.520423393
320,8.5.A.1,Dlactate,0.085262622,0.470511263,0.458333333,1.625,0.265299081,0.711850943,0.003080622,0.636941308
